public/js/app.js:23	Ridisegna le icone Lucide dopo che hai iniettato HTML nuovo. Chiamata da 62 posti: se un'icona non compare, manca questa.
public/js/app.js:75	Chiude tutti i modali aperti, uno per uno, prima di cambiare superficie.
public/js/app.js:178	Accende la modalità PRO di Infomaniak: mostra tutti i modelli, non solo quelli consigliati.
public/js/app.js:189	All'avvio rimette il provider e il modello che avevi scelto l'ultima volta.
public/js/app.js:217	Applica alla pagina la modalità studente: nasconde i bottoni che allo studente non servono.
public/js/app.js:270	Accende e spegne la modalità studente.
public/js/app.js:289	Sceglie fra generazione a passo unico e multi-pass.
public/js/app.js:315	Sceglie la pipeline di generazione A o B (prova comparativa).
public/js/app.js:361	Sceglie la logica MindMap: 'mappai' classica o 'triage' con profondità adattiva.
public/js/app.js:376	Dice quale logica MindMap è attiva.
public/js/app.js:378	Dice quale pipeline (A/B) è attiva.
public/js/app.js:402	Costruisce l'elenco dei verbi di relazione ammessi nel KG, nella lingua delle mappe.
public/js/app.js:423	Salva il product ID di Infomaniak.
public/js/app.js:429	Salva il modello scelto nella tendina.
public/js/app.js:440	Cambia provider AI (Google ↔ Infomaniak) e ricarica l'elenco dei modelli.
public/js/app.js:492	Apre la pagina web dove si prende la chiave API del provider.
public/js/app.js:506	Aggiorna il riquadro che spiega dove passano i dati con questo provider.
public/js/app.js:560	Legge un PDF con PDF.js e restituisce il testo PAGINA PER PAGINA (serve all'àncora per citare la pagina giusta).
public/js/app.js:617	Scorciatoia: dallo stesso PDF prende solo il testo intero, senza le pagine.
public/js/app.js:624	Restituisce la chiave API del provider attivo. Ogni chiamata AI comincia da qui.
public/js/app.js:639	Restituisce la chiave di UN provider preciso, anche se non è quello attivo.
public/js/app.js:650	Etichetta leggibile del provider, per dire al docente dove passano i dati.
public/js/app.js:655	Elenca i provider per cui hai messo una chiave: sotto i due, il selettore non si mostra.
public/js/app.js:665	Decide il tetto di token in uscita per il modello attivo (i verbosi ne vogliono di più).
public/js/app.js:754	IL PASSAGGIO OBBLIGATO di ogni chiamata AI dell'app: sceglie provider e modello, invia, conta i token, gestisce l'errore.
public/js/app.js:921	Aggiorna a schermo il costo stimato della generazione in corso.
public/js/app.js:955	Aggiorna il contatore dei token della fonte caricata.
public/js/app.js:961	Ricalcola la stima di token e costo prima di generare.
public/js/app.js:1086	Aggiunge una fonte vuota (PDF, URL, YouTube, testo) al modulo di CREA.
public/js/app.js:1133	Quando esci dal campo URL, prova a leggere la pagina e a prenderne il titolo.
public/js/app.js:1146	Propone il titolo della mappa a partire dal nome della fonte.
public/js/app.js:1150	Toglie una fonte dall'elenco.
public/js/app.js:1157	Riceve il PDF scelto e lo passa alla lavorazione.
public/js/app.js:1188	Lavora il file caricato: riconosce il tipo (PDF, DOCX, testo, immagine) ed estrae il testo.
public/js/app.js:1233	Registra una fonte iconografica: l'immagine non dà testo, la leggerà Gemini.
public/js/app.js:1269	Riceve un file qualunque dal selettore e lo instrada come fonte.
public/js/app.js:1325	IL ROUTER DELLA GENERAZIONE: prende il lucchetto, sceglie il motore (MindMap o KG, iterativo o multi-pass) e avvia.
public/js/app.js:1934	Costruisce il blocco di taratura sulla classe da iniettare nei prompt, quando il contesto è armato.
public/js/app.js:1963	Abilita o spegne la riga «Adatta al livello» in COSTRUISCI.
public/js/app.js:1979	Attacca la taratura classe al systemInstruction di un payload AI.
public/js/app.js:2002	Le regole di scrittura accessibile iniettate nei prompt: frasi corte, nessi espliciti, tecnicismi spiegati.
public/js/app.js:2045	Mostra il rendiconto di fine generazione: chiamate, token, costo, fasi.
public/js/app.js:2183	Elenca gli ID di un nodo e di tutti i suoi discendenti.
public/js/app.js:2197	Raccoglie le fonti di un nodo e di tutto il suo sottoalbero: è il materiale che va ai prompt di studio.
public/js/app.js:2267	Le categorie della segnalazione dalla Cabina (interfaccia, AI, …).
public/js/app.js:2281	Invia la segnalazione del docente (e dice se è partita davvero).
main.js:80	Il lanciatore: apre la finestra Docente o quella Studio secondo la scelta iniziale.
main.js:363	Il canale che porta davvero la richiesta a Google Gemini (HTTPS dal processo principale, non dalla pagina).
main.js:642	Apre un indirizzo nel browser di sistema.
main.js:718	Fotografa la finestra dell'app e la restituisce come immagine.
main.js:725	Salva il JSON della mappa nella cartella delle mappe.
main.js:942	Scrive un file dentro un vault, con le guardie che impediscono di uscire dalla cartella.
main.js:1084	Manda in stampa un materiale del vault col dialogo di sistema.
main.js:1277	Salva la trascrizione di una chat col tutor dentro il vault.
main.js:1308	Salva la risposta scritta a un quiz dentro il vault.
main.js:1469	SCRIVE IL VAULT INTERO su disco: index.yaml, links.json, Nodi/*.md, allegati.
main.js:1827	LEGGE UN VAULT dal disco e lo ricostruisce in memoria come mappa.
main.js:2294	Ferma il server del Knowledge Garden.
main.js:2310	Apre nel Finder la cartella del Knowledge Garden.
main.js:2385	Ferma il server della Lavagna collaborativa.
main.js:2406	Apre nel Finder la cartella della Lavagna.
main.js:2562	Ferma il server di MappAI Live.
main.js:2577	Apre nel Finder la cartella della sessione Live.
main.js:2616	Ferma il server dei materiali.
main.js:2624	Dice se il server dei materiali è acceso e a quale indirizzo.
main.js:2675	Salva su disco il registro delle classi e delle credenziali.
main.js:2762	Aggiunge una riga al registro dei consumi AI.
main.js:2763	Legge il registro dei consumi AI (lo mangia il cruscotto dei costi).
main.js:2775	Apre nel Finder la cartella del registro consumi.
main.js:2842	Chiede alla cache della voce se questa frase è già stata registrata.
main.js:2850	Restituisce dalla cache l'audio già registrato di una frase.
main.js:2857	Mette in cache l'audio appena registrato, così domani non si ripaga.
main.js:2872	Svuota la cache della voce.
main.js:2921	Aggiunge una riga al registro locale degli errori.
main.js:2922	Legge il registro degli errori (lo mostra la Cabina, non parte niente da solo).
main.js:2935	Svuota il registro degli errori.
main.js:2943	Apre nel Finder la cartella della diagnostica.
main.js:3034	Avvia il server di «Chatta e Scrivi» e restituisce indirizzo e QR.
main.js:3099	Ferma il server del tutor.
main.js:3107	Dice se la sessione tutor è attiva e con quali parametri.
main.js:3112	Apre nel Finder la cartella delle chat del tutor.
