Data (GG.MM.AAAA)|Modulo/Feature|Descrizione Tecnica dell'Attività|Fase|Ore
17.01.2026|Setup Infrastruttura|Progettazione architetturale Electron 30 + Node.js per desktop cross-platform (macOS/Windows/Linux). Definizione struttura cartelle, build pipeline, packaging strategy|Design/Architettura|8.0
20.01.2026|Data Model & State Management|Progettazione appState globale (db.nodes, db.links, sourcesDict, studySets). Schema dati nodi/link, enum level (L0-L5), rel types, group color mapping. Definizione pattern immutabilità per sincronizzazione localStorage|Design/Architettura|6.5
23.01.2026|Electron IPC Bridge|Implementazione preload.js context bridge (electronAPI.*). Setup IPC handlers per file I/O, API calls, vault management. Isolamento contesto sicurezza con contextIsolation:true|Sviluppo/Integrazione|4.0
26.01.2026|Storage Adapter Layer|Progettazione e implementazione storageAdapter.js: astrazione localStorage/Electron storage per retrocompatibilità Capacitor (iOS). Synchronous/async pattern. DAL Protocol per integrità vault legacy|Sviluppo/Integrazione|7.0
30.01.2026|UI Layout Foundation|Strutturazione index.html (~3546 righe): landing page, editor canvas, sidebar, pannelli modali. Setup Tailwind CDN runtime (play mode). Layout responsive con grid CSS|Design/Architettura|7.0
02.02.2026|CSS Framework|Implementazione style.css (~2726 righe): sistema colori per 8 group L1, tema dark/light, utility classes custom. Setup !important rules per override Tailwind (WIP refactoring). Component styles modali|Sviluppo/Integrazione|6.0
05.02.2026|Traduzione Multilingua|Implementazione it_translations.js e en_translations.js. Schema chiavi UI, feedback messages, errori API. Binding al DOM (data-i18n attributes). Supporto per 24 sezioni linguistiche|Sviluppo/Integrazione|4.5
08.02.2026|D3.js Rendering Core|Progettazione rendering grafo interattivo D3.js v7. Force simulation per layout automatico nodi. SVG path rendering link monodirezionali/bidirezionali. Zoom/pan interactivity. Label positioning algoritmo|Sviluppo/Integrazione|12.0
12.02.2026|Interazione Nodi|Implementazione drag-drop nodi, click selection, context menu (merge/relink/delete). Hover effects, highlight rami. Update rendering dopo modifica stato. Integrazione storage persistence|Sviluppo/Integrazione|8.5
16.02.2026|File Input Pipeline|Implementazione upload PDF/DOCX/URL/YouTube. PDF.js parsing. Cheerio HTML scraping. Mammoth DOCX conversion. Chunking text per tokenization. Estrazione metadata fonte|Sviluppo/Integrazione|10.0
20.02.2026|PDF Export e Dossier|Implementazione jsPDF generazione mappe + schede studio. Layout pagina A4 con wrapping testo. Rendering SVG grafo in PDF (svg2pdf). Stampa multi-pagina dossier completo|Sviluppo/Integrazione|8.0
24.02.2026|Google Gemini Integration|Setup API Google Gemini. Gestione API key (localStorage). Payload construction (contents, systemInstruction, generationConfig). Response parsing (candidates[0].content.parts[0].text). Error handling timeout|Sviluppo/Integrazione|9.0
28.02.2026|Infomaniak Bridge Layer|Implementazione infomaniak_bridge.js: conversione payload Gemini → formato OpenAI-compatible per modelli Infomaniak (Apertus 70B, GEMMA-4, Kimi-K2.6). Workaround responseMimeType JSON. Sanitizzazione risposte troncate|Sviluppo/Integrazione|10.5
03.03.2026|Template Prompt Engineering|Progettazione template AI per MindMap Fase 1-5 (L1_MACRO_CATEGORIES_IT, MIND_MAP_BRANCH_IT, ecc.) e KG (KG_SINGLE_PASS_IT, KG_MULTI_PASS_IT). Schema JSON embedding, few-shot examples. Linguaggio istruzioni disambiguate per L1 validazione|Design/Architettura|12.0
08.03.2026|MindMap Generation - Fase 1|Implementazione Fase 1 (L1 generation): layout schemaL1, maxItems tuning (7 categories), budget allocation (3000→6000→12000 token gemini-2.5). Salvataggio L1 in appState.db.nodes con level=0|Sviluppo/Integrazione|11.0
13.03.2026|MindMap Generation - Fase 2-3|Implementazione Fase 2-3 (rami L2-L5): iterazione su L1, prompt context con L1 fratelli (mappai_branch_boundaries_enabled). Merging risposte truncate via salvageTruncatedJSON. Deduplica ID nodi|Sviluppo/Integrazione|10.5
18.03.2026|KG Generation - Single/Multi|Implementazione KG single-pass e multi-pass. Comunità detection vs stella. Relazioni semantiche (causa, conseguenza, contraddice, ecc.). Abbandono responseMimeType JSON su Infomaniak (anomalia gemma 37k token)|Sviluppo/Integrazione|9.0
22.03.2026|KaTeX Mathematical Rendering|Implementazione mappai-latex.js (124 righe): rendering formule matematiche con KaTeX. MutationObserver su source-modal-body. Supporto delimitatori $$, $, \[, \(. Fallback parsing|Sviluppo/Integrazione|3.0
25.03.2026|Extraction Lenses System|Implementazione mappai-lenses.js (327 righe): 13 lenses semantici disciplinari (Storia, Scienze, Matematica, ecc.). MAPPAI_LENSES, MAPPAI_PRESETS, buildLensesPrompt(). Iniezione focusTopic nel prompt. Panel UI collapsible|Sviluppo/Integrazione|6.0
28.03.2026|Timeline Cronologica|Implementazione mappai-timeline.js (811 righe): generazione timeline AI con community detection date. Deduplica eventi (chiave: anno+evento normalizzato). Rendering HTML stampabile. Opzione mostra/nascondi contesto fonte|Sviluppo/Integrazione|8.5
02.04.2026|Study Sets - Quiz e Flashcard|Implementazione mappai-quiz-print.js (482 righe): generazione quiz multipart AI. Rendering cards stampabili (2 colonne flashcard, risposte separate). Storage studySets in appState.db. Integrazione con AI per generazione domande|Sviluppo/Integrazione|7.0
